T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
10152, -448, -461, -286, -219310, -862330, 23170
10172, -153, -196, -80, -169330, -737240, -316050
10192, -773, -1720, -970, -266980, -587440, -438130
10212, -701, -1739, -512, -495390, -368340, -434910
10232, -1119, -1998, -573, 159460, -900690, -29960
10252, -786, -1228, -158, 7280, -868000, 240590
10272, -1260, -1892, -760, -46410, -771750, 116410
10292, -551, -886, -248, -170450, -501620, -294840
10312, -481, -796, -463, -54810, -465570, -641620
10332, -174, -405, -251, -41440, -481530, -645050
10352, -108, -236, -239, 98840, -587370, -518140
10372, -85, -226, -315, 142870, -593600, -374010
10392, -149, -340, -497, 217980, -579950, -286650
10412, -220, -189, -594, 351680, -456960, -318570
10432, -224, 2, -658, 675150, -293790, -456750
10452, 1065, 603, 834, 947730, 16170, -676550
10472, -139, -1408, -1223, 878430, 510580, -635810
10492, -1998, -1998, -1997, -280630, 1112300, 326970
10512, -1998, -1998, -1647, -238910, 795200, 1479730
10532, -1936, -179, -1333, 1332100, 353850, 1813280
10552, -1701, 1997, 1302, 1083670, 2245810, -276500
10572, 1996, -1998, -1997, 295120, 1924020, -1172080
10592, 1706, 1997, -1950, 92260, 1741110, -493850
